ip,count
192.99.19.154,6687
62.210.78.209,3620
37.187.89.77,3361
94.23.251.211,2772
62.210.142.7,2503
37.187.142.194,2465
62.210.122.209,1948
91.207.6.138,1672
122.177.156.161,1118
98.204.158.51,912
37.187.144.114,850
124.158.17.98,778
50.164.31.86,775
73.32.88.43,757
198.84.238.189,752
66.249.81.48,589
216.185.244.231,589
2.233.251.107,572
189.5.117.94,549
66.249.83.108,522
98.195.162.96,500
67.173.169.221,497
66.249.93.48,463
98.160.103.219,459
98.198.5.42,443
50.197.155.97,425
184.169.203.101,402
82.44.44.220,393
68.49.187.22,386
66.249.84.10,378
77.48.106.178,378
54.207.169.72,375
204.68.98.81,361
95.95.180.209,351
75.64.231.27,346
212.2.136.45,344
64.233.172.108,339
24.35.165.188,334
46.60.252.84,328
85.243.21.89,324
77.244.21.59,321
142.134.107.105,316
173.21.155.170,313
104.32.188.247,312
54.242.148.39,300
24.101.119.30,300
83.43.123.124,299
66.243.203.86,297
14.198.223.63,295
86.21.127.37,290
173.19.226.217,288
72.14.199.61,282
72.14.199.48,280
89.78.24.241,279
184.153.243.77,277
201.239.194.220,273
72.14.199.74,273
78.40.232.81,268
126.7.41.207,267
200.112.233.89,266
76.30.178.12,264
24.246.49.110,263
76.17.212.22,262
12.36.121.83,262
203.104.11.13,262
98.193.40.43,261
99.25.242.52,254
12.36.121.84,251
203.104.11.14,250
108.38.160.92,247
99.181.41.172,247
188.120.88.133,246
109.173.188.56,243
75.175.71.92,243
76.181.39.63,240
92.43.69.174,238
203.104.11.11,236
72.224.210.17,234
99.48.33.107,223
14.198.223.178,222
203.6.69.2,221
162.243.114.218,220
98.211.186.184,220
108.35.26.46,219
66.249.88.14,217
66.168.242.50,217
98.237.245.247,217
109.173.189.37,215
174.60.239.202,213
208.92.175.148,209
115.241.63.82,206
173.212.80.95,205
178.38.73.89,204
162.243.115.95,204
71.176.205.80,203
24.21.66.220,203
89.217.103.82,203
184.3.248.91,200
73.36.32.114,198
66.249.92.61,198
