ip,count
209.85.238.51,5872
95.70.122.188,4158
216.222.148.8,2317
66.249.67.27,2116
82.43.52.59,1820
66.168.217.209,1376
150.70.64.193,1310
195.225.189.9,1253
150.70.75.38,1159
150.70.172.207,1120
150.70.75.36,997
150.70.97.41,942
204.236.137.113,924
194.154.22.38,876
50.16.181.209,876
150.70.172.104,873
150.70.75.163,860
150.70.172.202,769
24.68.108.206,763
99.103.229.244,727
78.25.80.57,713
92.138.224.126,705
209.85.238.112,702
98.149.52.14,681
212.159.116.29,677
212.121.202.251,676
5.39.55.111,672
92.148.82.137,652
66.249.67.73,618
67.220.21.62,607
23.20.204.157,565
14.198.41.155,555
67.161.45.146,546
87.114.12.237,546
75.119.223.154,536
150.70.172.109,534
99.179.23.34,510
91.231.90.128,503
50.18.21.225,491
208.94.145.108,487
76.216.150.73,483
194.154.22.35,467
71.234.60.183,467
173.227.230.238,462
150.70.172.239,445
78.25.80.56,435
220.245.79.163,430
62.24.252.133,404
199.48.178.129,402
77.122.84.217,397
95.70.28.154,387
76.24.87.177,374
175.106.63.6,374
24.224.42.159,374
202.45.119.19,372
216.59.19.13,364
189.203.28.23,356
66.190.133.220,353
74.128.116.126,352
86.20.57.106,350
194.154.22.56,344
98.211.141.116,344
194.154.22.40,336
31.24.239.15,331
184.73.50.66,325
203.25.67.170,322
5.39.10.220,318
76.113.21.102,313
217.218.99.151,311
150.70.172.108,310
82.68.5.102,299
184.156.243.214,296
23.20.56.176,296
23.20.69.31,295
128.187.97.24,289
112.198.135.40,289
23.20.0.236,288
107.21.157.245,287
68.0.71.138,286
196.215.69.156,286
80.40.134.120,279
2.180.43.81,279
5.112.180.215,278
50.19.77.41,278
122.118.177.32,274
23.20.201.124,274
58.237.39.71,273
50.17.66.168,272
88.12.12.169,272
107.22.157.193,272
50.16.113.72,271
68.54.247.100,271
23.22.130.101,269
50.16.109.54,269
23.22.151.57,269
23.22.184.81,268
64.12.117.7,268
194.168.34.125,267
210.50.30.133,265
174.129.135.241,265
