ip,count
37.187.89.77,10160
37.187.144.114,10026
94.180.111.232,8760
94.23.251.211,7724
62.210.142.7,4817
62.210.78.209,3957
108.61.209.73,3482
128.199.129.57,3321
108.61.202.230,3191
108.61.204.47,3165
108.61.192.203,3150
178.62.21.172,3114
108.61.210.121,2984
198.199.102.69,2919
5.101.107.37,2756
91.207.6.138,1893
104.131.195.201,1861
99.25.242.52,1392
104.131.195.209,971
66.249.81.48,880
54.236.162.222,880
37.187.142.194,876
187.75.252.116,875
89.85.103.57,727
91.207.7.33,726
66.249.83.108,693
2.233.251.107,691
91.207.7.141,682
73.32.88.43,672
68.39.202.54,635
207.157.183.2,615
109.173.189.37,612
173.30.4.198,609
163.153.142.100,608
66.249.93.48,603
68.45.4.157,600
91.207.7.30,597
68.41.194.178,577
193.255.135.254,577
152.26.69.34,574
67.187.2.219,570
91.207.7.186,568
209.221.90.250,554
168.99.117.116,553
66.249.84.10,542
50.164.31.86,539
213.238.175.71,536
98.226.241.28,536
91.207.9.166,534
84.132.104.161,524
170.161.62.131,516
71.80.15.246,514
98.204.158.51,505
91.207.9.170,500
152.26.69.36,494
14.198.223.178,487
91.207.9.150,484
91.207.4.210,466
91.207.5.205,464
91.207.9.162,455
91.207.4.58,452
205.155.15.223,451
91.207.7.133,439
91.217.10.142,438
72.18.225.26,434
91.207.8.17,429
66.122.14.254,425
77.48.106.178,424
91.217.10.138,423
112.207.197.178,415
192.99.149.88,414
136.235.244.62,395
206.176.81.242,393
184.169.203.101,389
104.162.21.71,368
169.244.31.98,356
96.245.130.31,356
24.186.101.134,352
64.233.172.108,347
84.3.240.160,341
72.159.148.11,335
66.154.193.6,335
24.41.3.2,326
99.186.112.247,321
96.5.151.246,321
168.99.197.15,319
201.239.194.220,317
112.164.39.120,313
71.59.33.92,313
204.185.64.130,312
54.207.169.72,308
186.32.48.121,304
209.106.168.1,299
65.51.5.30,298
205.173.168.1,294
192.107.136.24,293
50.47.82.114,292
204.185.64.153,291
82.119.110.138,291
197.247.24.184,290
