ip,count
209.85.238.100,2113
91.207.6.138,1493
89.228.112.67,1299
209.85.238.208,937
184.72.238.58,838
188.65.115.2,715
194.3.54.164,696
67.253.188.188,691
63.231.123.80,684
24.104.140.36,680
89.228.113.16,677
125.16.142.226,647
50.135.108.97,629
142.227.245.2,625
98.137.207.112,623
184.153.243.77,621
89.94.110.62,582
24.4.27.20,569
89.228.119.22,563
122.209.153.12,548
195.83.235.213,543
66.154.183.18,539
173.177.0.82,537
85.192.83.117,530
50.151.114.241,529
70.90.91.21,527
152.26.69.33,499
67.171.202.220,499
79.144.84.127,488
108.23.32.145,484
66.249.81.101,475
206.41.87.226,468
72.28.188.58,467
173.75.211.40,466
173.19.226.217,463
151.188.105.231,452
207.223.125.69,451
79.249.178.229,439
14.202.141.209,436
108.49.115.42,426
207.223.125.70,423
91.135.11.190,415
75.16.40.208,413
189.231.3.91,411
184.169.203.101,399
175.142.223.203,396
198.236.0.31,389
81.109.5.213,370
50.163.95.221,365
209.49.140.66,360
65.51.5.30,357
99.147.128.71,354
71.57.132.62,340
172.250.28.68,339
206.132.141.82,333
61.101.138.60,333
24.246.127.189,332
67.236.10.1,329
76.69.93.7,329
1.54.45.42,329
203.126.140.131,328
68.45.4.157,326
209.106.168.1,325
152.22.0.224,325
152.26.69.254,321
72.93.78.194,320
189.231.62.68,309
66.207.102.129,309
82.125.84.47,306
180.221.218.51,298
81.83.10.33,297
192.107.136.24,293
80.255.3.89,290
98.113.176.158,285
65.35.53.137,285
24.248.243.102,280
67.239.34.114,276
50.167.250.20,275
173.79.13.198,275
78.25.80.56,273
217.73.172.39,272
14.49.200.98,272
184.160.93.84,271
205.123.128.2,271
50.18.216.175,270
76.100.82.100,268
108.197.104.38,268
46.16.7.241,268
197.27.3.96,268
66.146.219.154,266
66.154.183.16,263
70.20.17.108,263
205.221.128.11,261
205.201.197.148,260
24.178.147.172,259
207.204.97.187,254
50.204.56.146,253
96.5.160.10,252
2.186.167.29,251
164.40.223.202,251
