ip,count
24.224.134.198,2408
66.249.74.218,1834
72.233.72.139,1798
98.145.150.47,1508
91.194.220.7,1346
91.194.220.8,1039
209.85.238.218,1008
184.169.203.101,906
50.18.21.225,781
70.90.91.21,765
78.25.80.56,722
80.239.242.175,700
198.144.189.115,690
167.206.52.67,639
64.185.118.50,631
176.34.78.244,602
86.157.242.219,597
76.29.147.84,571
66.168.217.209,559
99.147.128.71,555
24.193.224.216,552
82.244.219.95,549
112.164.39.117,545
208.94.145.108,536
70.103.123.8,511
173.57.117.237,493
77.167.227.180,487
195.188.250.134,483
24.63.7.184,477
189.155.146.37,469
14.198.98.20,451
74.250.170.174,436
82.137.208.59,435
65.60.215.204,411
142.32.208.226,399
76.4.132.247,390
86.82.188.248,386
72.233.72.155,385
71.173.128.171,378
66.249.73.14,374
65.60.146.116,368
210.50.30.133,362
78.60.181.218,359
173.18.189.32,357
72.14.199.196,357
203.210.79.192,348
74.69.239.239,346
194.154.22.36,345
69.159.20.151,343
35.8.234.102,334
163.153.132.2,330
189.155.138.9,329
94.101.160.1,326
148.244.70.50,326
66.117.233.46,324
194.154.22.51,318
71.28.232.59,310
219.78.98.118,307
63.148.48.91,306
199.216.184.3,304
24.182.203.2,295
83.54.132.226,295
204.52.179.199,294
74.95.29.249,293
71.222.246.72,292
86.162.1.251,292
202.63.40.75,290
84.252.31.83,279
212.178.214.66,278
24.62.64.49,276
50.200.88.202,271
170.91.5.4,270
142.22.16.53,270
72.30.142.221,269
66.244.223.234,268
212.219.248.230,267
31.222.208.187,267
97.94.138.194,263
184.73.14.223,262
91.227.196.21,261
152.26.69.32,260
84.84.35.223,258
168.8.249.173,257
62.24.252.133,252
64.83.196.182,251
98.235.136.178,249
74.112.131.111,249
50.43.51.120,246
24.94.190.31,245
89.155.60.246,245
203.201.220.36,245
75.6.147.52,242
58.175.112.44,241
24.192.227.42,240
99.98.226.7,240
68.0.79.193,239
74.112.131.110,237
108.11.172.80,236
69.196.253.30,236
24.62.23.17,235
