ip,count
188.143.232.72,35077
188.143.232.41,17062
188.143.232.26,16344
188.143.232.34,14999
188.143.232.70,14310
188.143.232.62,14174
188.143.232.43,14077
188.143.232.35,13643
188.143.232.40,13464
188.143.232.37,13117
188.143.232.19,10304
188.143.232.24,9764
188.143.232.15,8599
188.143.232.13,8258
188.143.232.10,7969
188.143.232.11,7745
114.76.48.82,6888
188.143.232.16,6888
188.143.232.21,6527
188.143.232.22,6456
188.143.232.14,6028
99.109.73.64,4247
207.161.196.72,3122
50.183.30.195,2358
58.26.127.154,1973
91.200.12.25,1586
67.188.230.33,1574
204.57.107.44,1492
206.110.108.3,1491
89.85.103.57,1107
74.160.145.33,1018
71.1.247.52,912
66.227.68.50,902
114.156.14.107,876
24.159.123.75,829
58.161.1.127,823
216.56.22.131,818
116.88.27.131,816
213.199.205.62,805
107.136.198.49,758
66.249.91.209,754
101.165.117.42,740
75.130.230.20,722
98.115.58.152,709
50.200.240.158,695
70.16.98.174,682
70.51.233.228,671
54.209.60.63,629
24.248.13.194,625
71.198.123.231,615
12.177.158.6,605
193.50.175.32,588
14.192.215.172,578
194.167.42.172,575
72.10.103.161,567
72.240.226.97,565
65.42.69.150,531
24.181.228.3,517
204.57.107.45,516
70.123.235.76,512
65.51.5.30,504
70.166.209.178,502
82.127.239.226,500
96.242.86.71,495
209.66.221.155,491
100.15.129.200,488
50.250.239.49,484
74.5.116.145,480
68.109.254.178,480
14.192.210.175,475
179.219.57.130,472
69.64.48.172,465
80.100.45.161,450
72.14.199.11,441
66.249.91.217,423
207.74.9.2,419
50.71.104.90,418
76.90.27.55,418
66.249.91.213,415
169.204.229.34,414
73.246.57.209,414
66.249.80.46,409
210.193.57.130,400
74.133.149.196,399
66.249.80.28,395
207.200.19.15,387
73.225.40.121,384
68.58.159.1,382
12.36.121.83,381
193.51.43.25,380
66.249.80.37,378
206.224.253.170,378
163.153.173.1,371
216.56.92.44,369
207.224.177.28,369
194.73.225.194,368
12.36.121.84,365
171.248.128.10,365
217.23.230.146,362
206.131.30.93,361
