ip,count
209.85.238.208,2943
93.115.94.85,2880
198.105.219.54,2547
46.105.114.75,2312
188.143.232.193,2224
91.121.170.197,1908
37.59.32.148,1789
188.143.232.111,1578
89.228.125.141,1411
200.16.16.13,1140
66.249.73.30,1043
98.206.182.89,1019
178.211.44.51,960
200.123.7.29,933
91.135.11.190,824
206.24.49.1,815
205.219.133.1,787
188.143.234.127,786
194.168.218.162,739
98.113.176.29,696
94.101.160.1,685
209.85.238.100,676
97.119.152.46,674
66.215.170.151,617
78.133.45.35,572
98.137.207.112,552
71.187.223.83,535
171.33.222.26,531
120.28.172.39,503
79.181.224.77,496
173.74.193.99,472
93.115.83.251,458
184.169.203.101,454
72.152.170.72,454
24.61.149.97,446
174.50.162.60,426
118.8.172.138,426
76.236.119.220,422
72.84.215.191,407
74.78.73.124,399
76.103.129.116,388
190.147.207.250,385
109.150.89.226,380
97.69.160.196,375
99.43.118.105,365
66.249.81.101,359
74.65.244.43,352
95.50.3.114,343
98.227.1.152,338
75.162.97.132,337
179.191.208.232,331
71.240.190.8,331
66.168.217.209,326
66.117.233.46,318
78.8.51.123,318
76.95.196.195,313
205.154.237.150,311
75.159.18.19,305
46.57.162.200,305
67.236.2.91,304
96.231.40.149,303
66.249.74.100,302
173.192.235.226,302
88.165.155.174,300
85.25.146.11,298
98.246.59.232,292
24.126.204.54,292
24.209.222.236,291
107.195.42.124,291
24.18.175.151,290
165.24.201.33,290
72.223.84.90,289
91.207.6.138,289
78.171.21.96,288
75.101.133.37,285
174.28.106.80,281
190.210.81.131,280
67.170.214.228,277
27.34.251.34,275
81.109.111.151,273
50.140.82.114,266
174.0.80.126,264
66.131.149.18,263
219.92.125.183,262
216.125.168.2,253
189.168.188.246,252
78.137.11.200,250
76.17.212.22,249
24.24.173.116,248
50.139.197.152,247
78.248.82.133,245
172.250.28.68,243
74.216.25.195,240
70.138.73.74,239
75.16.45.51,239
109.67.216.188,238
98.252.33.70,238
108.65.109.60,237
182.239.201.191,233
71.224.0.121,232
