ip,count
188.143.232.72,27247
188.143.232.11,15145
188.143.232.34,14614
188.143.232.16,14288
188.143.232.37,14261
188.143.232.14,14121
188.143.232.19,14019
188.143.232.13,13978
188.143.232.41,13963
188.143.232.43,13855
188.143.232.21,13723
188.143.232.26,13717
188.143.232.35,13665
188.143.232.40,13402
188.143.232.15,13293
188.143.232.22,13211
188.143.232.10,13184
188.143.232.70,12830
188.143.232.62,12699
188.143.232.24,10258
209.221.90.250,2139
116.88.27.131,1941
99.109.73.64,1901
50.183.30.195,1611
98.115.58.152,1534
24.248.13.194,1209
209.147.24.177,1209
72.10.103.161,1199
176.10.104.234,1062
66.249.91.209,972
50.206.74.100,959
216.56.240.46,946
209.95.48.11,890
206.110.108.3,867
66.99.24.2,835
69.64.48.172,822
66.227.68.50,821
101.165.77.45,773
66.249.91.217,771
66.249.91.213,767
65.51.5.30,731
162.252.88.21,727
89.85.103.57,703
108.61.55.68,698
190.161.131.75,690
66.203.38.3,683
69.58.37.2,656
185.28.251.241,651
209.152.135.80,645
213.199.205.62,597
150.101.102.204,593
67.161.78.8,592
213.238.179.240,587
88.15.228.96,581
206.248.38.213,580
54.209.60.63,569
185.28.90.254,565
88.107.229.108,558
50.200.240.158,556
203.14.52.145,553
171.33.192.152,543
209.94.176.249,538
71.182.134.130,538
50.232.187.42,535
68.59.88.238,524
76.173.144.136,508
114.156.14.107,504
204.102.40.107,503
199.164.68.174,490
168.212.252.62,473
65.51.230.82,470
210.55.186.171,468
195.221.62.1,468
71.14.144.65,462
50.202.220.138,454
168.169.221.78,451
173.8.133.156,446
205.118.122.103,432
66.249.80.46,432
169.204.229.34,431
195.65.152.105,431
195.5.218.190,430
32.209.48.119,428
66.170.47.242,423
24.136.224.78,419
66.249.80.28,419
168.169.222.132,418
194.81.127.246,418
168.102.134.128,413
80.100.45.161,411
186.32.50.63,407
109.157.82.11,404
66.249.80.37,403
70.186.64.19,403
164.166.223.23,402
96.242.130.241,398
124.187.98.132,397
50.232.195.6,392
193.49.61.57,389
50.207.12.158,386
