ip,count
188.143.232.72,43618
188.143.232.41,12154
188.143.232.62,11271
188.143.232.26,11206
188.143.232.35,10283
188.143.232.34,10120
188.143.232.70,10029
188.143.232.40,10026
188.143.232.37,9956
188.143.232.43,9782
188.143.232.16,5505
188.143.232.24,4604
188.143.232.10,3240
163.153.132.2,2707
71.1.247.52,2637
50.183.30.195,2488
188.143.232.21,2485
45.16.159.193,2085
188.143.232.22,1989
216.124.112.140,1948
167.102.70.26,1787
180.191.127.91,1666
188.143.232.14,1534
165.138.93.100,1434
203.116.31.107,1375
114.76.48.82,1266
188.143.232.19,1261
91.200.12.25,1246
89.132.226.116,1200
184.191.225.114,1161
188.143.232.15,1092
116.88.31.64,1081
66.209.225.210,1069
66.249.91.209,1052
188.143.232.13,1042
66.227.68.50,872
98.115.58.152,859
50.204.8.129,811
206.193.5.4,777
85.150.70.103,769
199.58.72.226,765
12.177.158.6,755
188.143.232.11,733
73.236.236.61,732
195.221.251.228,730
170.158.3.250,705
70.184.239.15,694
66.249.91.217,686
71.46.246.100,656
89.85.103.57,649
136.235.244.60,644
66.249.91.213,641
199.231.177.130,637
167.86.1.110,621
108.204.109.154,620
72.20.139.135,570
89.227.199.102,562
50.170.212.238,544
204.111.207.218,542
50.150.180.55,541
209.189.130.121,538
211.95.31.50,537
82.38.83.185,513
136.235.244.61,508
50.81.150.40,503
108.51.164.235,502
203.160.163.226,500
205.202.37.241,496
69.115.23.199,488
68.197.241.226,483
156.3.55.119,471
80.100.45.161,458
108.228.204.104,458
136.235.244.62,455
66.154.176.18,455
50.162.126.105,428
69.27.201.233,426
86.17.15.57,426
66.249.80.37,420
209.96.101.71,410
174.107.234.77,410
66.249.80.28,408
68.41.241.217,406
146.129.249.100,404
99.153.255.105,404
165.155.200.109,402
204.102.40.85,402
195.101.228.89,397
85.26.20.205,394
24.248.13.194,393
12.36.121.83,392
98.252.33.70,387
66.249.80.46,386
64.203.188.162,385
54.151.42.39,385
66.232.207.228,383
195.221.155.10,374
94.10.125.219,374
64.113.185.110,372
66.244.203.130,371
