ip,count
91.207.6.138,1478
209.85.238.100,1187
203.126.140.131,1135
71.57.132.62,1069
76.102.5.158,844
98.137.207.112,743
76.168.194.112,735
209.85.238.208,719
176.31.241.43,661
173.19.226.217,613
50.151.114.241,532
195.221.61.187,519
91.135.11.190,512
142.227.245.2,506
67.253.188.188,487
223.218.183.168,482
184.169.203.101,468
216.174.135.162,464
85.115.54.180,451
12.234.195.67,441
189.231.50.79,437
75.120.195.161,435
216.157.205.99,424
14.49.200.98,421
208.255.153.10,419
66.249.81.101,410
190.215.133.117,406
24.116.78.108,404
216.170.90.130,402
174.59.222.150,363
68.196.217.209,349
109.156.250.128,346
173.165.89.161,343
70.170.109.175,339
151.188.105.130,334
198.236.0.31,329
107.22.244.65,325
50.137.141.94,324
107.22.244.122,322
200.123.7.29,321
62.49.186.26,318
107.202.109.12,318
203.135.184.22,317
206.176.81.241,314
68.48.191.31,313
193.111.119.192,306
190.78.132.56,306
153.107.97.169,302
169.204.229.74,296
98.113.176.29,295
71.233.57.220,295
66.249.74.100,285
204.14.13.100,280
37.187.79.161,278
174.59.235.27,278
71.176.233.27,277
50.200.240.158,276
66.117.233.46,276
205.206.238.47,275
71.232.241.122,271
50.72.214.247,267
89.228.121.122,264
200.120.205.157,263
213.133.214.2,260
195.83.235.245,259
195.171.191.74,258
173.75.211.40,258
64.110.208.31,255
185.5.156.191,254
108.53.131.164,253
72.36.6.131,251
173.218.118.163,251
173.170.14.194,250
64.251.52.249,249
194.80.129.193,248
204.100.220.2,246
152.22.0.224,245
70.90.91.21,239
147.41.128.8,239
89.228.113.157,238
78.33.9.2,238
75.120.193.43,234
193.225.10.135,233
212.118.224.153,232
184.72.6.38,232
89.101.134.140,231
172.250.28.68,231
71.174.250.220,230
76.111.78.34,230
54.224.189.70,230
167.102.157.65,230
76.1.125.223,229
201.62.231.41,229
216.12.45.78,226
188.65.115.2,225
50.199.194.29,225
144.189.150.130,224
190.48.83.59,224
189.231.32.14,223
216.159.127.100,223
