ip,count
66.147.244.115,5489
203.6.69.2,1654
76.164.146.21,1409
85.31.137.11,1307
150.70.75.37,1032
150.70.172.202,739
205.155.19.254,732
150.70.64.193,696
150.70.172.108,566
186.84.149.133,490
209.85.238.153,478
209.85.238.112,454
189.225.203.240,434
184.73.23.198,427
66.249.67.73,410
66.249.67.131,378
67.142.162.20,367
60.234.242.170,367
202.68.95.225,356
58.216.171.203,336
121.240.224.8,331
23.20.204.157,325
204.236.137.113,315
66.154.183.16,301
216.222.148.8,299
2.188.212.154,299
173.80.222.23,298
204.237.7.122,294
190.53.245.6,292
96.243.183.251,285
195.225.189.9,285
83.33.225.17,282
165.234.180.58,270
142.32.208.227,267
71.170.100.230,265
76.21.39.39,263
190.31.120.95,258
98.116.127.110,252
70.161.175.169,248
206.15.225.106,247
184.44.0.83,247
208.94.145.108,242
150.70.97.41,239
208.115.152.4,239
64.12.117.7,239
50.18.21.225,235
66.154.183.15,234
62.171.198.7,229
96.238.96.207,227
174.61.188.7,208
111.13.8.105,207
174.54.221.50,204
202.49.22.93,203
50.131.244.163,199
74.51.220.2,197
78.92.54.22,195
205.188.116.8,193
209.85.238.185,193
71.191.247.225,191
202.59.80.174,187
210.243.20.253,186
121.54.48.38,184
99.29.53.129,184
87.189.218.81,182
66.249.68.141,179
121.215.38.36,179
70.16.144.28,177
217.219.98.13,177
64.128.16.218,176
176.34.78.244,176
198.188.7.150,173
194.154.22.56,172
76.24.87.177,172
150.176.182.29,167
46.60.252.78,165
201.206.114.1,163
189.101.66.91,162
60.241.239.115,159
31.221.3.162,159
180.192.90.26,155
207.200.116.134,155
84.61.25.153,154
176.9.169.103,153
108.62.74.30,153
125.236.44.44,153
24.224.42.159,152
206.78.150.227,152
173.73.105.88,152
184.58.123.10,151
89.145.108.203,150
67.239.9.171,150
71.251.235.14,149
20.132.64.141,149
68.39.227.28,149
189.225.58.178,148
82.137.208.60,148
14.195.153.35,148
69.84.207.147,147
188.245.9.147,147
78.38.70.254,147
