ip,count
188.143.232.72,28329
188.143.232.26,18645
188.143.232.16,18265
188.143.232.24,17477
188.143.232.15,16564
188.143.232.11,16521
188.143.232.35,16352
188.143.232.19,16223
188.143.232.13,16169
188.143.232.70,16109
188.143.232.41,16064
188.143.232.21,15840
188.143.232.43,15804
188.143.232.34,15708
188.143.232.22,15648
188.143.232.62,15635
188.143.232.10,15608
188.143.232.14,15561
188.143.232.37,15526
188.143.232.40,15495
176.10.104.234,8714
99.109.73.64,1482
73.227.14.215,1119
69.64.48.172,1105
66.249.91.55,1056
73.175.174.143,1010
66.249.91.63,996
66.249.91.47,986
5.150.113.43,788
66.249.90.29,751
66.249.90.31,733
74.70.206.70,722
101.71.27.120,717
66.249.90.27,706
63.199.33.66,643
121.54.53.157,607
71.49.249.169,585
50.189.117.193,575
99.10.97.7,547
89.85.103.57,525
80.21.247.98,517
80.82.65.82,508
54.209.60.63,491
213.213.211.239,466
183.131.144.204,464
73.167.87.108,451
24.181.165.199,448
24.17.215.47,447
174.34.220.21,434
186.249.176.2,432
99.10.165.100,430
182.255.118.150,429
66.249.83.171,424
66.249.83.174,421
66.249.92.45,417
108.28.171.140,416
71.224.198.255,415
66.249.92.48,411
50.206.73.254,410
121.183.151.182,410
193.93.207.134,404
66.249.92.51,403
173.78.228.129,402
99.170.170.155,402
66.249.83.177,395
67.87.58.193,394
81.168.2.162,385
54.151.42.39,383
75.71.150.54,368
69.117.40.131,368
86.9.27.164,357
24.158.130.107,353
202.158.222.66,346
187.22.22.242,345
74.83.218.182,332
93.74.191.45,326
27.115.75.114,325
216.115.121.240,325
96.232.86.147,325
190.197.9.238,324
184.13.24.110,316
117.79.131.109,315
12.36.121.84,313
96.253.75.139,310
98.229.199.48,309
98.197.179.49,306
142.129.66.158,306
208.96.97.68,306
71.54.88.62,300
67.249.199.206,294
66.249.91.147,294
73.196.214.22,293
66.249.81.167,290
66.249.81.171,288
24.8.19.77,287
75.97.129.120,283
12.36.121.83,283
203.14.52.145,280
66.249.81.175,278
91.207.9.154,271
