ip,count
62.210.152.149,10130
62.210.96.36,7947
62.210.78.209,7909
62.210.83.26,5907
62.210.79.109,5849
37.187.144.114,5554
62.210.167.213,4688
77.81.134.115,4300
62.210.122.209,4145
62.210.152.50,4096
62.210.91.168,2865
62.210.142.7,2765
83.240.209.118,1929
213.238.175.71,1845
91.207.4.210,1809
91.207.7.33,1806
91.207.7.30,1715
91.207.7.141,1615
91.207.7.186,1583
91.207.5.205,1565
91.207.7.133,1446
124.182.97.58,1434
91.207.5.30,1349
91.207.8.17,1282
91.207.4.242,1282
91.207.6.138,1242
91.207.4.58,1171
162.244.13.18,1064
91.207.6.142,975
91.207.9.162,963
91.207.9.170,913
91.207.9.166,900
91.217.10.138,882
91.217.10.142,878
91.207.9.150,787
69.64.48.172,780
82.14.88.65,750
205.127.70.66,639
68.55.149.16,610
216.56.27.39,567
72.10.103.161,553
99.234.223.69,547
75.74.5.8,528
89.85.103.57,498
98.242.108.115,496
99.10.97.7,488
66.51.179.91,476
66.249.91.178,449
108.226.7.54,445
69.35.210.122,437
118.86.33.74,435
66.249.91.160,433
107.141.133.150,431
66.249.91.169,418
98.235.200.174,416
184.169.203.101,394
98.200.42.27,382
156.34.18.76,377
96.4.9.13,369
100.35.62.69,363
93.181.148.180,357
81.104.236.54,352
70.182.119.253,351
181.66.15.219,351
108.206.10.95,350
112.111.188.153,344
64.183.77.58,340
46.238.125.40,332
152.26.69.45,327
66.177.160.152,323
195.221.155.2,321
209.121.212.12,316
71.96.51.60,313
78.171.59.83,304
99.38.122.163,302
65.35.159.54,292
12.36.121.83,289
208.94.38.214,288
85.85.107.92,286
189.0.189.170,283
173.48.203.215,280
37.238.176.19,275
66.249.81.156,274
24.61.138.75,274
66.249.81.162,272
98.226.241.28,271
12.36.121.84,268
71.14.137.176,267
66.249.81.159,262
76.17.212.22,261
76.182.250.5,258
101.176.131.222,256
68.198.163.226,254
109.173.189.37,249
198.236.0.33,249
50.139.245.153,247
188.120.88.133,246
71.209.180.230,239
70.172.225.80,236
75.137.10.35,236
