ip,count
24.224.134.198,4041
72.229.139.57,3946
66.168.217.209,2633
201.186.188.143,2124
66.249.74.218,1792
38.116.200.58,1631
198.144.189.115,1590
5.146.184.47,1487
66.249.73.14,1478
88.249.219.78,1443
99.36.224.102,1316
12.42.131.10,972
72.14.199.167,865
209.85.238.218,851
152.157.207.191,843
207.74.115.22,841
212.178.214.66,781
98.140.184.201,753
125.239.26.98,683
64.88.11.89,617
94.101.160.1,605
66.190.133.220,604
195.194.63.203,598
98.113.210.106,596
81.102.85.139,590
50.18.21.225,585
150.176.37.180,578
176.34.78.244,570
184.169.203.101,520
193.62.31.249,518
68.117.188.92,517
194.81.210.196,477
150.70.75.38,476
150.70.172.207,476
98.140.184.202,465
201.186.204.138,461
168.221.158.30,459
118.82.44.226,450
195.77.128.4,442
78.25.80.56,441
99.179.23.34,434
108.48.124.114,430
78.25.80.57,427
187.57.97.66,422
98.188.150.2,407
24.46.177.79,395
198.236.0.31,391
173.76.31.74,390
150.70.172.104,379
184.72.83.30,375
99.9.116.157,374
24.51.214.136,366
188.222.43.124,364
150.70.75.36,362
76.106.215.110,358
169.241.28.82,357
169.241.28.84,355
74.139.106.152,353
87.199.42.59,348
75.172.250.207,339
169.241.28.80,335
189.155.139.28,332
24.72.165.107,328
194.81.239.2,325
68.50.68.251,323
163.153.100.109,323
199.231.177.130,323
74.108.78.94,323
108.64.225.42,318
204.9.19.252,318
202.6.151.22,317
93.42.88.235,315
142.59.225.129,311
189.2.20.178,310
93.45.116.104,310
194.154.22.55,310
72.233.72.155,309
208.94.145.108,306
205.222.248.28,305
150.70.172.202,300
199.43.177.254,298
206.226.139.100,298
2.187.31.228,296
174.17.98.236,295
46.60.252.87,294
206.113.155.190,293
117.198.175.2,292
99.105.232.86,287
217.218.40.162,285
188.245.126.58,279
24.40.135.46,279
68.55.21.4,278
75.80.2.123,275
76.24.87.177,272
108.79.209.55,272
216.73.79.66,270
217.218.62.246,270
68.42.252.178,270
200.167.184.142,269
150.70.64.193,268
