ip,count
91.207.6.138,1970
187.148.19.45,1275
209.85.238.46,1202
165.138.10.5,1191
132.248.233.60,1167
76.30.184.105,1086
151.236.42.200,1034
2.233.251.107,892
70.117.164.95,848
164.40.223.202,762
82.128.218.176,750
98.137.206.54,655
68.14.171.43,637
68.45.4.157,636
188.226.140.163,629
66.249.81.101,578
108.193.37.145,559
199.167.77.44,555
76.174.227.41,548
89.78.24.241,529
96.231.40.178,527
38.74.128.51,526
206.219.137.10,516
68.190.16.68,511
72.14.199.218,494
79.43.57.124,471
98.30.32.128,470
188.49.33.171,462
24.189.43.15,446
46.18.221.178,432
206.41.87.226,427
69.50.51.10,425
74.140.236.80,421
219.171.230.238,421
108.35.124.14,420
31.47.3.105,415
66.249.85.30,406
168.8.249.175,406
173.75.211.49,404
96.233.116.76,404
71.96.30.94,402
50.151.114.241,389
54.226.160.143,384
216.56.69.34,384
99.68.156.8,383
176.9.158.210,375
94.101.160.1,371
99.226.199.175,369
71.217.72.79,361
71.172.96.124,356
81.200.56.34,346
66.249.88.30,340
76.168.192.242,338
89.85.103.57,335
74.103.21.8,333
12.36.121.84,332
125.54.207.85,332
67.187.142.90,325
86.172.99.184,320
72.211.210.99,317
94.208.245.215,316
173.249.151.143,310
208.115.111.72,307
12.36.121.83,304
194.126.252.241,303
208.115.113.88,301
98.208.237.158,300
68.238.243.46,294
67.165.212.254,293
207.255.73.32,292
108.85.246.106,291
204.102.40.107,289
142.197.65.58,288
96.49.8.92,285
162.104.1.122,284
50.4.169.121,276
24.21.38.133,276
70.81.165.176,275
67.204.197.175,273
17.24.252.155,271
112.164.39.71,270
74.108.230.50,268
86.14.172.149,266
170.185.83.19,265
76.102.78.179,264
65.42.69.150,262
96.42.127.120,260
64.183.77.58,258
170.185.97.17,254
54.207.169.72,254
24.19.70.72,252
195.221.155.2,250
204.14.13.252,249
188.120.88.133,248
108.87.79.105,245
129.127.252.7,245
14.198.40.55,243
69.255.251.4,243
108.26.34.137,237
112.213.181.230,237
