ip,count
91.207.6.138,2183
93.72.154.191,1622
70.117.164.95,1126
104.32.188.247,1120
68.45.4.157,1111
201.239.194.220,1075
194.224.246.138,1016
96.5.166.31,983
216.185.244.231,853
80.13.42.9,827
90.57.166.247,723
66.249.91.255,624
66.249.81.101,618
66.249.91.231,614
98.204.158.51,592
50.46.112.212,575
66.249.91.215,568
88.174.45.171,528
2.233.251.107,521
66.249.83.218,519
66.249.88.30,491
70.81.157.180,472
73.189.158.48,463
72.182.78.22,427
86.165.77.100,422
209.221.90.250,411
76.126.15.50,400
24.130.28.110,395
68.51.28.219,391
195.209.233.215,389
71.163.174.50,387
90.27.192.52,381
75.142.84.56,376
99.135.61.158,376
68.190.194.153,374
195.221.155.2,366
98.227.1.152,350
96.4.193.84,349
174.60.239.202,344
66.249.93.101,342
76.30.178.12,341
89.230.206.242,341
173.19.226.217,338
24.224.134.198,331
96.231.185.137,322
173.75.211.49,316
98.160.96.92,313
95.44.137.126,308
67.52.164.131,305
89.78.24.241,303
122.56.100.78,302
87.219.29.89,300
184.169.203.101,296
54.207.169.72,295
74.103.21.8,292
203.14.52.143,290
78.90.193.228,290
76.10.80.239,288
98.209.249.50,288
194.114.133.131,287
64.8.149.34,283
109.173.188.56,282
173.218.220.140,282
115.64.60.117,281
37.59.184.181,281
99.147.128.71,273
41.100.189.135,272
193.150.120.14,270
75.69.212.206,270
12.36.121.84,270
65.75.234.237,268
98.198.5.42,266
108.193.37.145,263
89.85.103.57,259
126.7.41.207,255
77.105.5.141,254
66.119.41.34,250
108.26.37.214,249
76.17.212.22,247
108.65.201.239,243
190.215.215.152,242
174.57.45.44,241
188.120.88.133,240
83.218.198.160,238
12.36.121.83,231
77.244.21.59,229
173.169.109.100,228
78.97.152.241,228
72.82.158.52,228
116.212.237.46,222
78.231.198.171,222
88.234.12.154,219
207.177.213.39,218
83.233.207.74,214
85.221.224.230,214
123.203.55.72,212
70.177.72.162,212
112.119.142.253,210
68.238.243.46,209
63.139.209.164,208
