ip,count
209.85.238.100,4865
66.244.123.104,3739
198.105.219.54,2757
173.19.226.217,2516
66.249.74.100,2050
54.247.94.63,2035
72.233.72.139,1621
66.154.183.17,1501
213.243.148.192,1351
24.224.134.198,1268
98.164.241.213,1090
72.14.199.218,915
177.43.45.251,900
12.208.59.130,894
163.153.132.2,876
91.230.159.47,875
171.33.221.254,845
65.115.204.5,815
108.227.71.69,788
184.169.203.101,762
63.164.97.129,747
67.170.214.228,744
77.121.155.105,737
66.154.183.16,663
68.36.84.110,656
24.229.62.2,607
71.182.232.172,595
163.6.1.129,592
78.230.60.83,586
173.49.254.118,574
90.33.197.25,573
152.26.69.35,570
24.153.172.130,563
152.22.0.223,555
121.223.150.196,545
208.103.237.188,532
206.82.20.126,532
66.154.183.15,526
66.249.81.101,524
14.139.231.82,510
98.248.89.208,500
96.25.40.79,493
99.68.156.8,486
96.237.193.196,485
209.85.238.208,477
75.173.238.128,476
188.61.216.249,475
86.82.188.248,470
74.108.81.119,463
75.173.237.234,462
64.88.11.89,443
50.18.21.225,435
54.241.198.78,430
65.55.173.124,421
184.73.14.223,419
24.178.230.146,416
178.196.196.255,411
66.249.73.26,411
99.179.23.34,405
82.43.7.254,398
72.229.139.57,391
66.249.113.70,387
173.3.110.12,384
176.34.147.100,381
94.203.118.47,381
99.59.5.72,377
189.231.34.197,375
62.254.173.207,369
163.150.165.200,368
173.192.235.226,368
50.143.186.8,365
69.132.134.204,363
65.52.0.29,353
207.225.180.189,352
71.17.132.152,351
67.181.11.114,345
65.30.181.164,343
78.150.120.167,337
68.100.4.215,336
62.231.136.1,332
203.122.241.21,328
1.247.109.131,327
176.34.78.244,326
67.195.115.126,325
72.30.142.221,324
209.189.130.115,321
76.121.36.16,320
207.190.171.200,312
66.249.74.120,311
46.229.165.21,311
68.231.144.250,311
188.49.227.8,304
217.212.230.14,302
76.120.253.30,302
71.93.229.119,300
99.170.113.161,299
122.168.229.221,298
24.141.188.194,296
204.81.19.78,296
98.25.10.69,292
