ip,count
94.23.1.20,13036
62.210.142.7,9294
62.210.122.209,8753
94.23.12.169,6895
188.165.213.170,6169
192.99.14.166,6036
188.165.233.138,5333
62.210.152.149,4982
37.59.28.42,3109
94.23.5.222,2497
142.4.215.148,2283
94.23.6.124,1868
91.207.6.138,1674
112.111.188.153,1383
62.210.167.213,1181
24.159.123.75,1151
62.210.96.36,1108
62.210.152.50,1100
62.210.83.26,1099
24.85.70.30,1015
62.210.78.209,1008
37.187.90.85,1004
69.64.48.172,850
62.210.88.195,840
62.210.91.168,715
209.221.90.250,680
139.216.40.143,587
75.83.248.45,586
66.195.91.180,545
185.31.136.59,526
8.26.61.69,518
87.170.222.127,497
184.169.203.101,489
65.87.178.21,488
1.179.134.110,486
82.44.44.220,485
174.24.229.232,483
89.85.103.57,483
24.248.13.194,469
104.32.188.247,459
68.55.149.16,455
5.144.10.210,442
50.180.152.189,437
62.210.180.16,433
169.199.30.254,419
199.58.72.230,413
91.207.7.141,407
195.69.80.74,406
213.238.175.71,396
83.249.241.152,396
173.48.203.215,392
71.175.63.247,391
67.61.134.244,378
222.126.241.62,360
173.55.148.171,358
96.4.107.95,358
64.183.77.58,357
66.249.81.162,357
23.228.129.83,355
116.237.15.81,355
91.207.9.154,353
67.81.19.192,346
86.10.242.127,343
50.14.41.6,342
66.249.81.156,334
193.1.57.1,333
66.249.81.159,332
128.65.153.252,331
190.197.18.44,328
91.207.9.146,328
68.179.143.173,326
91.207.7.33,321
67.86.159.112,317
54.86.66.252,312
89.178.99.92,312
69.121.65.123,309
98.27.192.5,309
69.31.195.131,307
24.104.66.174,307
107.140.185.39,305
84.157.122.230,304
90.31.133.112,303
66.249.91.178,302
98.81.164.112,300
70.197.23.79,297
1.239.151.201,296
12.36.121.83,294
50.203.175.195,289
66.249.91.169,288
174.61.229.143,286
66.249.91.160,284
99.38.122.163,283
86.161.59.58,279
175.42.93.47,277
123.17.153.252,271
91.207.7.186,270
159.255.167.35,270
179.177.151.131,266
203.174.191.230,264
75.16.213.124,263
