ip,count
209.85.238.51,2794
216.222.148.8,2151
66.168.217.209,1828
66.249.67.59,1589
69.126.161.247,1502
117.200.0.201,1184
209.85.238.115,1115
150.70.75.38,1037
150.70.172.207,1005
196.14.169.11,964
88.190.209.201,907
150.70.75.36,892
69.121.166.44,806
66.249.67.27,783
150.70.172.104,762
78.25.80.57,759
204.236.137.113,706
156.1.40.68,689
38.100.146.51,659
117.213.139.155,657
150.70.172.202,630
99.170.150.189,619
74.108.89.221,613
200.123.7.29,607
212.183.128.221,586
24.19.168.156,565
66.190.133.220,546
150.70.97.41,532
67.4.1.17,532
150.70.172.108,526
68.0.71.138,517
74.65.197.155,512
99.69.206.17,503
58.175.171.152,501
150.70.64.193,480
62.24.252.133,476
87.114.12.237,468
84.252.31.83,464
216.161.176.120,455
23.20.124.126,453
76.24.87.177,449
68.197.194.170,435
23.20.204.157,431
78.25.80.56,420
80.40.134.120,412
50.18.21.225,412
178.63.62.194,406
132.3.57.68,404
66.249.67.56,393
71.182.232.172,383
65.49.2.182,373
67.253.148.141,363
98.71.39.95,362
121.219.44.122,354
96.241.40.245,352
50.16.181.209,349
173.227.230.238,348
72.83.184.151,340
98.247.54.102,335
37.152.28.155,330
58.97.98.132,329
74.87.62.78,329
180.190.8.133,328
150.70.75.163,325
72.233.72.155,319
31.18.45.219,318
24.6.153.248,314
184.72.134.55,312
66.249.68.114,309
68.54.247.100,307
85.26.241.213,304
76.121.163.113,304
46.11.107.138,304
124.176.5.72,301
76.171.113.247,300
50.99.81.222,300
66.249.67.9,299
108.56.3.88,296
85.185.130.96,295
82.228.150.83,295
23.22.130.101,293
50.16.109.54,293
182.209.38.167,292
202.45.119.16,292
107.20.3.175,291
50.132.109.252,289
88.190.213.113,287
23.20.0.236,286
96.26.49.146,286
23.22.238.188,286
201.148.20.61,283
23.20.201.124,283
50.17.66.168,282
23.20.69.31,281
85.26.241.88,276
23.22.67.107,275
203.208.92.26,275
62.24.181.134,274
107.21.157.245,274
89.194.13.33,272
