ip,count
72.233.72.139,3420
74.111.170.63,3219
66.249.74.100,2037
198.105.219.54,1890
24.224.134.198,1595
107.195.42.124,1141
209.85.238.100,1135
98.145.150.47,940
66.139.27.254,923
68.39.227.66,889
184.169.203.101,869
67.170.214.228,811
74.207.135.72,788
194.168.218.162,746
209.142.141.162,680
54.247.94.63,660
71.227.236.223,642
76.176.186.237,630
24.178.230.146,624
71.173.194.55,621
194.28.108.48,618
67.175.227.232,615
98.208.237.158,566
198.61.201.80,552
1.247.109.131,541
66.249.74.218,517
201.200.251.50,490
165.138.64.124,477
50.18.21.225,461
74.132.20.252,458
200.69.103.254,458
50.150.111.131,451
72.30.142.221,441
46.4.203.246,433
98.208.124.83,423
71.184.192.95,412
99.13.4.108,411
68.36.84.110,404
96.29.114.224,404
216.213.198.162,403
99.68.156.8,398
68.206.44.202,397
206.246.197.250,396
24.184.240.60,390
213.243.148.192,390
99.97.114.160,387
54.246.144.177,385
188.92.76.167,379
23.22.39.206,374
207.224.45.185,371
67.195.112.246,362
94.203.118.47,353
99.129.242.186,352
194.154.22.39,352
202.156.10.239,348
108.49.124.200,343
176.250.180.181,339
90.53.46.70,336
37.239.137.76,334
125.168.185.245,331
146.129.242.84,327
177.142.73.206,325
189.231.20.101,318
88.101.87.171,318
94.246.64.173,316
46.60.252.97,315
31.221.51.114,314
178.135.47.108,311
216.56.5.194,310
71.238.213.63,309
212.17.135.186,308
165.24.247.70,305
217.212.230.21,293
67.220.21.62,292
67.23.43.128,290
72.23.60.48,290
173.192.235.226,289
80.239.242.47,288
94.96.91.150,284
91.99.131.44,284
118.0.157.233,281
94.101.160.1,280
194.72.50.129,278
176.100.16.142,277
209.85.238.218,277
186.176.218.152,275
194.80.21.10,273
190.233.127.156,270
46.16.7.241,261
194.83.57.1,260
82.149.121.114,260
54.241.198.78,258
75.128.94.7,254
168.144.229.71,252
24.193.224.216,251
62.24.252.133,250
74.128.198.69,249
79.119.243.144,248
69.112.4.202,247
71.29.170.60,247
