ip,count
188.143.232.72,20701
188.143.232.10,18932
188.143.232.11,18432
188.143.232.24,17984
188.143.232.16,17759
188.143.232.35,17739
188.143.232.70,17648
188.143.232.21,17552
188.143.232.43,17490
188.143.232.22,17413
188.143.232.34,17388
188.143.232.13,17306
188.143.232.15,17298
188.143.232.41,17233
188.143.232.40,17221
188.143.232.14,17044
188.143.232.19,16977
188.143.232.62,16574
188.143.232.37,15379
188.143.232.26,12661
176.10.104.234,12120
176.10.104.227,5972
69.64.48.172,1061
84.94.64.191,1006
24.8.19.77,943
199.203.47.109,891
75.71.150.54,837
109.129.212.133,814
86.124.199.26,694
24.217.251.209,683
89.238.148.42,668
168.221.157.80,648
183.131.144.204,636
32.209.48.119,570
80.82.65.82,556
99.170.170.155,546
81.168.2.162,511
24.17.125.228,504
203.14.52.145,498
74.70.206.70,486
74.99.78.98,466
168.212.159.126,452
98.155.0.132,443
59.167.94.57,441
89.85.103.57,438
89.29.175.68,431
173.70.132.239,429
54.209.60.63,418
73.27.236.143,414
69.115.122.118,411
70.52.238.31,408
104.35.36.185,396
101.71.27.120,390
100.2.42.68,390
68.4.115.150,385
206.224.253.170,384
96.19.232.10,382
86.19.117.213,382
76.103.58.106,372
195.221.155.2,371
194.83.173.62,365
216.66.121.194,362
122.56.74.131,356
73.175.174.143,342
190.215.102.147,342
66.31.43.4,341
5.196.163.51,341
108.19.115.36,338
75.85.147.123,335
99.247.246.247,331
80.58.250.92,330
67.184.42.4,329
209.188.131.22,329
84.90.6.65,328
79.62.181.112,326
71.102.55.138,325
98.192.75.237,323
99.188.226.66,321
210.55.186.171,320
50.203.154.138,319
71.194.132.114,315
91.207.9.154,311
14.139.34.2,311
66.249.93.163,311
76.17.235.124,310
153.107.97.170,308
54.151.42.39,307
181.65.159.88,306
66.249.93.171,305
50.206.73.254,305
201.36.255.210,303
76.103.114.166,301
85.12.76.63,295
108.26.158.7,294
12.36.121.83,293
138.75.156.118,288
216.11.0.254,285
66.249.93.167,284
24.206.245.124,283
12.36.121.84,283
