ip,count
188.143.232.72,26639
46.223.129.20,15079
188.143.232.21,13047
188.143.232.62,13023
188.143.232.37,13022
188.143.232.35,12920
188.143.232.14,12909
188.143.232.43,12864
188.143.232.34,12860
188.143.232.16,12836
188.143.232.13,12787
188.143.232.41,12787
188.143.232.40,12778
188.143.232.15,12650
188.143.232.22,12636
188.143.232.24,12629
188.143.232.10,12616
188.143.232.19,12461
188.143.232.11,12453
188.143.232.26,11852
188.143.232.70,11464
176.10.104.234,7771
24.8.19.77,3523
24.248.13.194,2388
164.116.47.74,1686
216.100.93.72,1479
193.255.135.254,1470
204.100.180.252,1371
204.100.220.2,1239
67.52.216.40,1182
209.106.168.1,1144
216.56.27.34,1131
72.14.199.82,1050
72.14.199.78,1008
72.14.199.86,986
73.175.174.143,979
24.246.118.194,973
69.56.127.222,971
67.208.235.40,956
198.236.0.36,929
205.222.248.117,902
205.222.248.45,901
66.227.68.50,838
69.64.48.172,828
206.176.80.254,804
205.222.248.231,798
71.46.222.129,771
216.21.165.134,767
108.249.32.175,752
205.222.248.163,751
205.222.248.155,749
216.11.139.10,722
89.85.103.57,716
205.222.248.76,711
167.102.157.152,711
66.249.91.47,706
204.169.83.68,698
65.116.73.226,690
216.64.238.32,685
205.123.251.62,680
76.10.203.66,675
66.249.91.63,669
68.41.241.217,666
66.249.91.55,662
74.254.73.226,661
54.209.60.63,647
72.20.139.135,645
169.204.229.74,624
121.208.80.254,613
163.248.33.178,608
126.218.75.204,603
108.249.32.151,602
203.153.234.187,602
24.233.254.53,602
203.39.248.132,600
204.108.196.2,597
205.222.248.228,591
131.109.19.18,590
216.162.115.67,588
205.155.216.9,573
24.41.3.2,567
136.235.244.61,550
203.14.52.145,549
109.26.131.204,544
138.210.84.62,544
136.235.244.60,534
216.6.139.94,531
79.213.17.140,521
66.195.91.183,517
169.244.31.98,516
206.110.56.2,515
203.177.92.119,502
108.80.252.111,495
162.222.252.53,493
198.170.192.221,493
168.213.5.100,490
207.166.54.98,489
163.153.142.100,486
136.235.244.62,485
64.114.197.145,481
