ip,count
188.143.232.72,27106
188.143.232.16,15554
188.143.232.15,15370
188.143.232.19,15115
188.143.232.37,15048
188.143.232.13,15047
188.143.232.22,14952
188.143.232.14,14893
188.143.232.11,14857
188.143.232.40,14847
188.143.232.41,14792
188.143.232.21,14715
188.143.232.24,14600
188.143.232.43,14477
188.143.232.34,14279
188.143.232.26,14203
188.143.232.10,13936
188.143.232.62,13864
188.143.232.35,13175
176.10.104.234,9575
188.143.232.70,9280
24.248.13.194,1909
72.14.199.94,1883
72.14.199.88,1858
72.14.199.100,1822
174.30.105.234,1618
121.208.80.254,1531
24.8.19.77,1335
69.64.48.172,1084
66.195.91.190,974
69.27.201.233,885
216.64.238.32,883
5.164.189.169,881
50.205.203.133,881
72.14.199.48,792
204.100.180.252,788
99.250.127.1,787
199.96.186.133,782
107.1.119.254,770
72.14.199.51,763
96.232.86.147,758
72.14.199.45,748
72.14.199.86,708
216.161.176.120,700
72.14.199.82,645
109.173.188.108,631
72.14.199.78,618
207.224.177.45,617
89.85.103.57,614
66.249.83.171,609
64.19.5.114,592
50.200.240.158,588
70.160.130.220,587
66.249.83.174,585
123.211.191.11,574
184.178.179.17,566
66.249.83.177,548
186.239.235.73,541
50.185.237.241,527
66.195.91.183,523
67.128.203.2,515
184.13.24.21,497
156.1.40.15,496
70.164.111.99,473
66.214.73.235,451
52.0.58.106,430
40.141.30.17,417
54.209.60.63,410
73.175.174.143,408
203.122.254.16,404
71.74.13.29,402
66.7.244.18,398
76.11.22.127,397
165.138.120.251,396
198.17.32.164,392
58.30.233.198,392
54.151.42.39,391
203.14.52.145,389
24.21.38.133,386
66.170.47.242,380
66.4.230.1,379
40.133.1.162,378
185.45.35.170,377
218.25.129.207,376
24.124.12.2,376
98.125.120.214,374
108.19.115.36,371
98.226.241.28,371
76.68.124.154,367
167.160.209.11,365
198.17.32.165,364
208.67.143.161,362
153.107.192.207,362
76.177.112.144,357
89.74.38.8,357
67.87.58.193,350
75.97.129.120,348
99.109.73.64,347
80.56.67.55,346
101.162.71.187,345
