ip,count
188.143.232.72,134850
188.143.232.70,83212
188.143.232.22,75187
188.143.232.62,38948
188.143.232.19,36718
188.143.232.34,36355
188.143.232.40,33098
188.143.232.10,30419
188.143.232.15,30416
188.143.232.13,30401
188.143.232.37,30210
188.143.232.16,30031
188.143.232.43,29963
188.143.232.24,29944
188.143.232.21,29867
188.143.232.41,29851
188.143.232.14,29661
188.143.232.35,29275
188.143.232.26,29233
188.143.232.11,25774
212.71.238.108,2527
170.185.118.17,1830
200.125.105.219,1340
82.16.17.34,1027
50.183.30.195,967
187.213.234.195,822
50.171.185.38,820
167.102.70.26,814
219.88.165.51,810
132.248.55.1,796
50.200.217.81,781
163.150.225.80,754
209.108.211.125,753
66.227.68.50,727
174.102.234.63,702
184.191.225.114,668
66.209.225.210,635
216.155.129.61,621
198.236.0.32,611
75.147.12.25,610
24.43.13.242,604
165.139.116.252,589
122.99.64.233,573
71.192.113.158,548
198.111.237.3,543
210.55.186.171,535
52.71.155.178,534
216.162.89.4,526
184.184.116.214,525
64.114.223.202,523
45.16.159.193,517
59.167.94.40,515
118.200.42.42,486
66.249.80.28,485
187.213.227.151,479
186.32.41.41,476
92.54.127.136,476
89.84.47.28,475
123.211.125.75,474
204.102.40.85,470
198.236.0.33,469
203.25.67.3,463
205.118.122.83,457
207.225.186.157,454
205.222.248.141,444
66.249.93.225,443
66.249.91.214,443
175.103.25.198,443
173.78.89.220,442
50.200.227.134,438
216.56.93.2,433
118.100.175.236,430
66.249.80.37,427
72.14.199.11,424
66.249.80.46,424
74.111.16.190,420
66.249.93.227,418
123.202.213.126,415
12.36.121.83,413
66.249.93.229,412
209.221.90.250,407
165.155.208.106,403
77.170.209.197,402
72.14.199.12,397
107.202.35.98,396
182.55.168.156,395
168.11.97.76,394
68.105.150.220,391
71.95.150.89,389
76.10.203.66,385
50.206.74.100,384
185.28.251.241,384
198.203.81.2,378
63.246.105.245,376
79.116.43.156,372
99.158.137.49,371
150.104.60.1,366
69.147.192.131,366
156.1.40.7,365
204.113.97.234,364
