ip,count
64.251.53.194,5811
79.132.84.243,4035
209.85.238.112,2542
98.149.52.14,2256
82.43.52.59,1870
66.249.67.73,1691
150.70.172.202,1672
150.70.75.37,1627
205.155.19.254,1625
150.70.172.108,1597
85.31.137.11,1553
150.70.64.193,1472
72.14.199.51,1254
204.236.137.113,1097
216.222.148.8,1056
66.168.217.209,1043
23.20.204.157,855
38.114.203.201,842
69.196.22.163,836
208.94.145.108,819
66.249.71.77,696
50.18.21.225,674
66.215.170.151,567
150.70.75.38,562
69.140.233.13,547
203.6.69.2,526
150.70.75.163,526
216.115.121.240,524
98.211.141.116,522
150.70.97.41,519
98.251.33.178,517
78.25.80.57,516
76.24.87.177,508
189.225.172.84,507
64.12.117.7,506
75.186.22.27,503
74.222.208.98,493
107.20.100.85,490
94.184.249.4,488
92.138.224.126,484
38.116.200.58,479
24.224.42.159,473
205.188.117.7,472
23.22.170.218,472
68.225.238.74,467
8.2.215.2,463
24.44.101.8,458
174.129.65.124,458
151.58.47.53,457
91.99.34.111,453
23.20.126.4,451
23.21.25.91,450
50.19.11.13,444
23.22.43.133,432
128.187.97.24,424
142.22.16.55,415
123.136.106.72,408
184.73.142.121,405
150.70.75.36,403
184.173.115.231,403
78.25.80.56,392
79.144.91.14,391
94.175.151.140,387
194.154.22.55,383
92.148.214.43,383
132.3.37.68,378
184.173.115.232,376
89.145.108.202,367
72.232.7.33,363
72.232.7.32,361
87.247.77.40,357
194.154.22.36,351
176.53.216.28,345
194.225.56.146,344
62.24.252.133,344
72.232.7.31,341
204.156.77.13,328
202.156.10.231,328
207.200.116.134,328
173.80.222.23,318
66.249.68.105,317
184.172.0.214,315
161.69.220.1,311
188.158.24.36,310
72.232.7.29,309
89.207.214.14,307
50.17.12.137,307
195.194.63.203,306
31.59.240.61,306
67.202.59.96,305
142.32.208.227,305
31.221.3.162,302
207.236.99.253,300
184.173.115.237,300
68.54.247.100,298
203.104.11.12,297
23.20.178.221,296
70.43.166.82,295
50.17.43.219,294
113.165.79.75,294
