ip,count
66.154.183.18,4306
91.135.11.190,2362
66.154.183.15,1598
66.154.183.16,1582
173.19.226.217,1548
91.207.6.138,1397
209.85.238.100,1365
46.118.125.10,967
98.137.207.112,860
68.3.102.131,854
74.211.42.179,742
216.48.138.33,722
69.225.12.207,703
188.65.115.2,686
173.52.244.204,654
173.79.13.198,651
96.25.40.79,630
71.91.40.54,623
68.45.4.157,617
199.167.77.44,611
189.231.5.71,593
70.95.135.90,588
50.160.239.244,569
195.188.250.134,554
72.240.188.108,524
66.249.81.101,519
63.231.123.80,504
107.222.94.43,481
184.169.203.101,475
68.190.16.68,463
24.74.20.134,458
67.85.96.9,457
96.240.96.104,430
24.222.85.51,426
63.227.33.11,423
165.161.9.27,420
65.60.225.242,402
69.62.168.161,392
194.63.239.235,391
76.168.194.112,383
168.11.48.199,381
66.154.186.32,369
89.207.208.1,358
58.106.240.104,357
89.85.103.57,352
198.236.0.31,348
207.165.196.1,347
50.140.82.114,346
76.174.227.41,344
176.9.158.210,339
93.93.218.212,334
108.18.188.158,331
69.31.195.118,331
165.161.9.25,321
77.100.82.102,319
167.102.157.65,319
203.126.140.131,316
76.100.82.100,315
118.90.39.173,312
74.67.225.241,311
70.90.91.21,297
192.139.27.18,296
5.234.136.54,295
86.125.35.41,294
89.241.159.13,293
67.239.34.114,291
94.26.69.208,291
205.123.128.2,283
24.178.230.146,281
174.59.222.150,280
38.106.47.4,280
70.177.108.203,279
94.112.127.141,279
209.85.238.208,278
67.80.191.93,278
203.14.52.145,278
217.33.67.226,273
98.208.237.158,272
92.43.69.172,270
174.52.251.238,268
99.6.239.18,265
58.137.128.66,264
66.249.85.30,261
91.194.220.7,261
66.249.93.101,252
24.10.221.224,252
46.60.252.98,252
91.230.146.253,252
173.75.211.40,251
99.147.128.71,248
65.175.129.2,243
68.200.17.142,243
96.233.116.31,242
187.234.83.48,240
98.217.33.132,239
174.118.101.155,236
80.31.183.59,236
98.156.82.203,234
203.104.11.11,232
66.241.32.168,231
