ip,count
60.241.207.237,15105
142.68.84.73,14501
188.122.127.230,8351
72.229.139.57,2852
66.168.217.209,2329
65.42.69.130,1729
201.186.188.143,1581
12.42.131.10,1439
209.85.238.218,1415
66.249.74.218,1359
23.20.124.126,1294
76.87.221.231,1162
198.144.189.115,1151
98.198.133.81,1123
24.224.134.198,1088
64.75.74.10,994
78.25.80.57,947
99.36.224.102,824
86.38.158.69,757
204.236.137.113,710
66.249.74.172,689
68.117.188.92,680
150.70.75.38,656
66.17.87.131,626
91.227.196.21,625
74.108.78.94,623
208.115.152.4,598
79.107.7.24,592
98.149.52.14,580
74.139.106.152,577
204.228.23.204,570
150.70.172.207,533
2.190.127.215,531
150.70.172.104,517
150.70.75.36,515
207.235.134.2,514
64.58.7.90,511
194.28.108.48,496
12.164.25.18,492
94.194.91.105,469
206.78.150.154,465
63.245.135.235,463
78.25.80.56,461
193.62.31.249,456
50.18.21.225,455
67.161.45.146,430
76.24.87.177,424
71.57.139.75,419
24.72.165.107,412
150.70.97.41,410
150.70.172.202,407
75.172.251.90,403
165.24.251.40,398
66.190.133.220,395
164.116.47.178,394
142.32.208.227,393
209.85.238.1,380
209.85.238.115,378
213.125.124.106,366
80.191.151.42,364
165.111.2.149,356
99.179.23.34,350
150.70.64.193,345
66.249.67.9,343
203.20.245.254,341
62.24.252.133,337
109.152.47.31,324
72.233.72.155,317
107.192.145.95,316
203.104.11.2,314
71.30.158.3,313
154.5.184.34,310
150.70.172.108,310
80.40.134.120,308
216.222.148.8,305
72.38.227.162,299
188.245.22.112,293
184.72.83.30,291
208.85.211.196,289
194.154.22.52,288
2.35.240.28,287
160.99.11.56,285
62.24.181.134,284
91.99.193.89,284
205.213.255.51,283
123.243.83.125,282
68.100.57.55,281
50.13.234.57,280
50.203.38.10,278
71.184.223.183,276
107.20.51.164,275
167.21.254.16,275
50.47.28.192,275
206.246.197.250,274
150.70.64.196,271
69.77.21.162,270
212.183.128.60,270
98.239.107.212,269
115.248.130.148,263
84.248.62.159,260
