ip,count
188.143.232.70,220517
188.143.232.62,183237
188.143.232.43,175235
188.143.232.72,170242
188.143.232.41,160781
188.143.232.22,127422
188.143.232.34,77708
188.143.232.40,66795
188.143.232.24,54840
188.143.232.14,54665
188.143.232.19,54406
188.143.232.26,53299
188.143.232.35,51933
188.143.232.13,47925
188.143.232.21,47751
188.143.232.37,46983
188.143.232.10,45215
188.143.232.15,45011
188.143.232.16,44194
188.143.232.11,36012
165.138.116.100,3080
50.206.74.100,1262
200.125.105.219,1156
132.248.55.1,1001
206.57.185.111,956
104.166.240.155,910
199.189.81.2,765
75.85.147.123,748
97.103.242.131,716
99.10.165.100,710
72.14.199.74,707
50.183.30.195,705
170.158.159.19,670
165.139.116.252,659
72.14.199.78,645
109.173.208.207,621
190.75.116.187,612
72.14.199.82,607
76.3.250.189,587
108.61.57.218,565
204.100.220.2,560
163.150.149.150,533
66.249.80.46,527
24.182.195.2,522
24.104.140.36,520
89.177.1.18,517
66.249.80.37,515
108.26.136.2,505
70.54.75.246,503
66.249.80.28,488
52.71.155.178,482
50.170.212.238,475
167.102.70.26,468
66.227.68.50,459
46.247.14.18,453
76.10.203.66,450
73.31.238.111,448
37.70.15.39,437
12.36.121.84,434
89.230.215.108,430
204.185.4.1,420
8.26.61.69,417
114.77.56.181,415
71.49.212.212,415
99.72.210.125,414
66.249.93.225,413
168.221.157.253,408
12.36.121.83,403
69.80.67.70,397
98.206.243.248,395
66.249.91.214,394
198.233.104.154,394
112.200.81.77,393
204.102.40.77,389
168.144.229.71,387
89.85.103.57,379
66.249.83.171,376
76.109.46.241,376
65.117.146.4,376
73.181.215.170,375
66.249.93.229,372
189.75.241.236,369
49.144.166.238,368
205.213.195.18,364
193.170.65.57,364
179.7.79.189,362
63.246.107.49,361
66.249.83.174,361
66.249.83.177,354
24.45.235.29,352
184.191.225.114,350
188.250.22.151,348
122.99.64.233,345
176.223.82.183,345
66.249.93.227,345
50.232.187.49,344
169.244.28.124,344
63.133.232.1,343
66.249.91.218,343
68.49.164.168,342
