ip,count
188.143.232.72,139464
188.143.232.10,68156
188.143.232.16,62756
188.143.232.37,61537
188.143.232.13,61015
188.143.232.15,60146
188.143.232.21,58619
188.143.232.24,55798
188.143.232.70,55141
188.143.232.35,54013
188.143.232.14,53305
188.143.232.26,53264
188.143.232.19,52928
188.143.232.41,52123
188.143.232.40,47413
188.143.232.22,46784
188.143.232.34,46413
188.143.232.43,46397
188.143.232.62,39567
188.143.232.11,17821
85.245.201.79,1633
27.99.35.194,1134
216.48.132.24,789
70.53.65.105,740
216.48.133.24,724
66.227.68.50,704
173.49.103.67,699
49.148.196.188,649
175.32.91.62,643
72.14.199.74,608
188.250.22.151,604
104.188.59.228,599
148.251.13.51,597
67.160.197.150,594
72.14.199.78,589
88.183.181.135,579
66.249.93.225,543
50.183.21.22,538
66.249.93.227,528
216.11.71.2,528
165.155.208.95,523
12.36.121.84,517
93.126.84.170,517
66.249.91.138,481
66.249.93.229,477
72.14.199.82,477
207.62.35.21,466
179.4.20.140,462
204.108.212.244,457
66.249.91.142,456
167.102.157.171,455
112.245.172.68,454
64.251.52.71,453
50.47.84.132,453
50.202.220.138,453
12.36.121.83,451
190.47.76.152,447
31.150.157.144,434
50.206.74.100,433
70.244.68.57,429
82.33.119.55,427
71.79.45.46,425
174.118.251.135,421
184.58.142.45,411
81.98.116.148,410
75.133.214.101,402
89.230.215.108,401
168.144.229.71,388
105.157.126.121,381
50.175.82.203,377
68.58.105.103,375
119.74.149.105,374
218.18.16.201,374
112.209.217.245,364
104.34.177.188,364
206.248.38.213,363
66.249.91.146,357
180.191.142.225,355
202.77.101.52,351
213.130.115.218,349
100.2.233.33,346
66.249.80.28,344
46.247.14.18,340
80.98.175.131,339
204.102.40.85,336
207.74.23.60,336
169.241.60.198,316
66.249.80.37,311
207.74.23.59,311
64.19.198.231,310
66.249.83.171,308
66.249.80.46,306
91.109.19.24,306
66.249.83.177,303
52.71.155.178,301
89.248.55.194,299
75.83.129.139,297
219.92.54.121,297
209.129.224.185,293
76.1.127.131,292
