ip,count
84.139.243.114,3300
83.34.11.56,2092
66.249.74.218,1802
24.224.134.198,1647
198.144.189.115,1471
70.90.91.21,1387
173.19.226.217,1232
98.145.150.47,1187
99.36.224.102,1151
209.85.238.218,1059
66.168.217.209,1043
70.235.87.115,1030
194.154.22.35,851
108.231.150.148,804
189.155.138.9,771
72.10.103.161,698
74.104.191.112,682
76.29.147.84,680
184.169.203.101,646
24.13.161.31,646
200.123.7.29,632
122.60.180.171,629
72.233.72.139,617
74.106.195.220,593
208.111.77.119,586
168.8.249.173,575
78.25.80.56,572
98.183.181.67,559
208.94.145.108,556
71.57.68.2,514
210.6.47.115,499
94.101.160.1,487
67.197.117.171,479
50.18.21.225,477
194.154.22.39,475
146.52.112.227,473
66.249.74.180,413
201.186.189.127,388
165.155.212.102,385
72.229.139.57,381
74.108.81.199,374
78.60.181.218,359
98.169.98.154,356
24.1.126.255,353
107.22.18.208,348
176.34.78.244,347
209.96.111.80,346
68.118.39.193,346
24.4.177.245,344
67.160.185.40,335
205.123.128.2,330
71.193.223.29,324
72.234.233.171,319
72.30.142.221,319
111.68.97.27,316
174.64.10.23,308
201.186.202.206,307
72.233.72.155,302
149.172.143.160,298
69.140.115.13,296
109.100.226.178,294
38.99.85.6,293
162.78.70.210,292
217.219.244.12,292
38.99.85.3,290
220.255.4.30,287
98.208.237.158,283
38.99.85.2,281
90.221.171.85,281
99.179.23.34,281
180.253.146.217,279
38.99.85.1,279
38.99.85.7,278
70.189.195.73,275
194.80.21.10,273
120.28.190.95,269
108.235.232.249,268
70.126.131.225,266
24.39.1.140,265
38.99.85.4,263
71.62.96.121,261
38.99.85.5,260
173.70.208.196,260
201.239.148.46,258
50.138.15.99,255
212.178.214.66,255
24.159.105.161,254
74.183.84.41,253
108.11.172.150,252
2.219.208.11,252
5.22.107.179,251
183.90.103.20,250
206.113.155.190,248
99.71.166.221,248
186.107.110.34,248
174.49.109.60,248
66.195.91.183,244
80.58.250.92,244
108.28.105.73,241
38.99.85.8,240
