ip,count
94.23.1.20,16293
188.165.213.170,14760
192.99.14.166,13936
37.59.28.42,13922
188.165.233.138,13774
142.4.215.148,13592
188.165.213.222,9319
94.23.222.184,8601
94.23.6.124,8210
94.23.5.222,8129
94.23.12.169,6653
37.187.90.85,5553
24.85.70.30,4740
97.118.225.42,1971
62.210.122.209,1748
91.207.6.138,1725
62.210.142.7,1331
66.195.91.190,1246
69.64.48.172,1046
199.231.177.130,985
184.151.231.115,946
177.227.204.224,941
204.169.64.16,899
204.185.215.245,884
54.86.66.252,868
198.236.0.36,847
152.26.69.45,842
205.155.19.254,805
209.52.88.54,779
203.14.52.145,742
190.215.202.43,719
209.66.200.47,713
110.22.68.164,671
88.150.136.178,660
172.5.237.31,622
201.240.135.251,598
50.178.62.95,580
180.190.247.149,577
203.189.87.18,575
75.163.129.135,562
50.201.27.250,556
63.138.101.130,554
175.156.83.26,542
67.61.134.244,541
186.92.161.21,523
98.16.97.134,511
89.85.103.57,509
165.161.7.26,500
165.161.9.27,496
99.25.242.52,486
96.43.39.219,480
182.255.99.238,478
50.201.27.254,477
204.43.65.12,467
209.221.90.250,457
149.241.10.158,449
109.173.189.37,445
119.17.50.210,434
68.55.149.16,425
209.117.176.68,419
72.238.165.106,419
184.169.203.101,418
206.176.100.20,418
98.155.0.132,417
208.64.144.131,415
216.185.244.231,405
75.69.212.206,399
71.172.204.3,398
91.207.9.154,397
165.161.7.27,397
207.177.213.39,395
64.19.3.195,389
199.254.2.54,382
173.55.148.171,373
99.68.156.8,368
5.150.96.120,365
108.64.170.175,364
50.180.152.189,358
207.28.249.114,347
158.165.232.213,345
202.45.119.156,345
107.0.80.6,343
216.56.24.194,339
180.95.22.8,339
66.249.91.178,339
24.130.160.75,334
124.6.181.202,332
99.38.122.163,332
66.249.91.169,328
107.212.78.102,328
40.140.38.202,322
91.207.9.146,320
158.123.253.200,314
69.254.134.248,313
99.226.199.175,309
17.228.4.86,308
66.249.91.160,305
94.189.225.224,302
73.44.160.22,302
209.184.141.61,302
