ip,count
188.143.232.72,29252
52.8.218.51,12713
188.143.232.40,12371
188.143.232.34,12044
188.143.232.22,11411
188.143.232.62,11096
188.143.232.21,10971
188.143.232.16,10935
188.143.232.26,10869
188.143.232.37,10846
188.143.232.15,10770
188.143.232.35,10751
188.143.232.24,10678
188.143.232.14,10658
188.143.232.13,10392
188.143.232.19,10318
188.143.232.41,9947
188.143.232.43,9693
188.143.232.10,9209
188.143.232.70,8377
188.143.232.11,3796
209.221.90.250,1904
45.16.159.193,1457
50.201.27.254,1171
64.125.144.16,1119
64.237.37.123,1081
50.183.30.195,922
66.195.91.180,900
50.170.212.238,884
203.14.52.145,800
204.43.65.12,615
73.148.236.242,603
68.41.241.217,587
66.227.68.50,565
77.230.65.159,531
205.243.120.66,528
173.17.53.68,451
68.105.150.220,438
50.200.240.158,434
99.109.73.64,411
203.100.2.150,408
205.123.251.62,404
212.219.249.100,395
169.204.36.16,383
199.227.95.37,379
66.139.27.5,376
152.250.250.156,371
65.93.142.57,370
46.254.201.118,369
52.71.155.178,365
209.165.172.193,340
66.249.91.214,336
167.86.132.115,326
108.19.115.36,314
68.228.111.250,312
76.247.181.137,310
168.11.97.76,304
204.102.40.85,302
50.233.0.98,300
165.24.201.51,299
71.170.3.166,298
69.116.213.144,295
64.237.35.84,293
76.25.219.131,289
66.249.91.218,287
94.208.206.149,286
144.76.18.195,285
212.219.249.99,284
148.74.128.6,282
64.113.186.130,279
66.195.91.179,276
195.154.243.5,275
185.28.251.241,275
71.168.165.118,271
190.27.239.26,262
77.99.134.210,256
69.121.88.185,250
12.182.145.46,250
85.201.29.236,250
71.95.150.89,250
121.45.117.129,246
64.235.154.85,243
172.78.52.41,239
72.89.111.105,238
66.249.83.171,231
212.69.58.123,230
68.96.92.126,229
50.204.46.174,228
146.166.157.30,227
74.62.246.188,226
98.203.190.159,225
66.249.83.177,221
66.249.91.222,220
50.171.185.38,220
169.204.36.19,219
74.222.219.161,218
190.128.90.141,217
189.166.96.109,215
73.22.145.182,214
100.15.129.200,214
