ip,count
89.231.72.138,4876
87.9.252.215,4017
199.164.68.179,3868
58.59.234.67,2005
91.207.6.138,1873
70.117.164.95,1037
209.85.238.46,1035
193.40.243.83,1033
66.175.168.70,937
68.193.37.101,751
71.57.132.62,690
12.208.59.130,661
98.183.153.105,638
68.190.16.68,638
198.199.124.206,608
67.253.188.188,604
185.14.187.136,555
192.81.222.248,555
199.167.77.44,550
24.22.150.98,540
173.75.211.49,536
209.85.238.190,531
141.0.170.143,531
178.238.224.239,528
76.115.152.242,481
88.225.195.214,476
66.249.81.101,462
99.181.41.172,453
89.78.24.241,444
98.208.237.158,431
99.9.116.40,423
83.22.254.206,412
162.243.114.218,410
198.199.81.54,403
192.81.213.81,392
76.16.242.112,391
195.209.233.215,388
162.243.115.95,387
64.107.129.239,384
78.57.221.102,383
176.9.158.210,380
68.14.171.43,375
165.155.192.101,374
162.243.211.20,372
174.60.239.202,371
209.221.90.250,367
124.188.224.20,366
2.233.251.107,358
218.186.15.239,348
60.231.87.204,346
204.8.195.146,345
174.76.24.16,335
24.129.23.83,334
68.45.4.157,330
108.45.140.57,329
174.0.165.101,329
212.72.210.220,321
86.14.172.149,321
31.222.208.187,306
5.239.210.57,305
173.249.151.143,300
114.30.98.142,299
178.209.91.170,299
86.21.41.77,299
85.17.75.221,297
66.249.88.30,297
98.160.96.92,295
71.223.255.30,289
12.36.121.83,288
96.254.218.206,287
12.36.121.84,286
98.234.173.158,286
200.55.213.30,285
174.76.24.17,284
178.77.216.3,284
54.72.224.242,282
66.249.93.101,278
67.212.9.132,276
207.157.134.158,275
31.207.233.57,273
64.83.245.98,268
119.95.119.181,264
218.188.213.250,260
96.43.247.40,259
72.14.169.150,257
95.85.1.108,257
50.197.155.97,255
65.125.115.30,252
82.1.92.163,250
31.221.3.162,250
76.17.7.183,250
62.24.252.133,246
218.186.15.10,244
54.207.169.72,242
24.224.134.198,241
188.120.88.133,240
70.177.108.203,240
110.169.157.101,239
12.217.57.100,239
94.26.69.208,234
