ip,count
188.143.232.22,16674
188.143.232.15,16255
188.143.232.13,16182
188.143.232.14,15913
188.143.232.19,15081
188.143.232.72,14665
188.143.232.16,14484
188.143.232.62,13904
188.143.232.21,13424
188.143.232.35,12752
188.143.232.40,12525
188.143.232.34,11277
188.143.232.41,10493
188.143.232.43,10003
188.143.232.70,9660
176.10.104.227,9577
176.10.104.234,9171
188.143.232.37,6615
24.8.19.77,4412
95.130.13.153,2585
99.250.127.1,1992
75.37.206.234,1573
205.201.197.148,1529
95.130.13.172,1306
69.64.48.172,1273
107.178.195.210,1102
107.178.195.206,1098
107.178.195.214,1096
216.11.0.254,1047
198.237.138.134,1008
54.209.60.63,988
70.112.96.188,892
152.26.193.24,849
50.204.57.98,821
174.88.185.73,775
174.58.121.223,746
205.222.248.155,745
103.4.100.112,744
89.168.228.58,722
184.178.179.17,687
205.155.15.224,653
66.154.212.254,637
89.243.30.104,636
206.78.212.207,631
185.75.56.82,628
198.236.121.1,621
66.175.168.70,609
152.26.55.190,598
24.246.49.110,597
199.212.251.11,587
186.63.59.212,583
70.171.84.76,581
70.189.133.74,579
188.143.232.26,573
188.143.232.24,567
207.74.23.59,564
188.143.232.10,561
188.143.232.11,560
208.108.124.28,547
207.74.23.60,533
110.22.68.164,533
65.35.159.54,521
70.52.238.31,511
73.130.12.182,500
91.207.9.154,499
115.132.207.171,476
202.45.119.77,472
71.190.38.235,471
62.24.252.133,466
82.240.129.201,460
207.74.23.62,458
24.217.251.209,458
154.20.126.187,455
203.122.227.154,451
192.107.141.20,451
206.110.20.11,450
169.244.136.193,443
66.195.91.190,440
206.131.8.50,436
173.177.0.82,435
173.56.240.17,435
199.231.179.197,425
89.85.103.57,421
203.14.52.145,416
72.240.248.2,416
205.235.34.2,403
169.204.230.42,375
32.209.48.119,371
203.4.182.5,369
47.17.229.83,363
156.57.100.111,358
67.4.53.106,357
152.26.193.38,355
86.30.148.69,351
38.104.251.114,350
124.158.17.98,348
54.151.42.39,345
82.219.34.61,339
91.217.10.138,336
97.93.98.34,331
