ip,count
24.224.134.198,2934
198.105.219.54,1250
98.145.150.47,1005
217.212.230.20,930
209.85.238.218,878
184.169.203.101,837
66.249.74.218,822
14.34.50.7,792
38.99.85.17,788
71.81.199.57,722
41.142.72.215,718
98.197.23.224,703
99.225.165.35,689
184.184.161.71,683
24.193.224.216,664
74.114.87.51,650
66.249.76.101,637
176.34.78.244,607
194.168.218.162,605
209.174.114.236,578
50.59.226.236,558
189.155.146.37,547
89.229.103.108,530
74.132.20.252,520
217.212.230.21,510
50.18.21.225,508
1.247.109.131,495
72.14.199.101,492
76.118.25.27,451
41.140.184.20,415
87.182.64.16,409
79.119.243.71,405
164.58.74.10,404
66.249.75.101,400
80.239.242.206,400
108.248.144.52,399
173.160.216.173,399
50.139.198.161,391
62.24.252.133,389
24.225.17.116,388
216.56.27.34,382
176.34.147.100,379
68.53.10.220,377
71.229.166.171,368
194.154.22.38,367
50.200.88.202,366
105.227.242.31,361
190.209.193.24,359
70.138.7.197,355
174.23.114.33,353
204.234.82.253,353
168.144.229.71,351
204.185.204.253,345
178.149.78.246,343
66.148.157.80,343
200.230.37.141,336
66.182.238.5,334
79.118.138.139,329
72.233.72.155,328
108.206.10.95,320
204.228.117.202,319
167.93.7.250,315
173.49.254.118,315
80.239.242.62,307
65.172.72.11,306
200.230.37.143,305
67.122.242.225,303
155.158.122.44,302
78.25.80.56,302
203.244.218.6,298
76.4.99.205,295
98.208.237.158,293
95.120.35.4,290
108.74.239.159,290
203.6.69.2,286
206.226.139.100,285
46.4.203.246,283
142.32.208.226,281
166.109.0.238,281
209.221.90.250,279
136.254.89.183,277
69.124.60.87,277
107.1.11.65,274
167.128.19.234,273
88.214.193.210,273
67.170.214.228,271
99.38.164.141,265
66.117.233.46,265
212.142.224.41,259
70.176.146.158,259
194.154.22.40,259
98.232.9.48,256
71.167.6.67,256
2.234.133.36,250
71.29.186.213,249
72.189.189.48,249
74.73.29.32,249
189.155.146.179,246
80.40.134.120,245
216.213.195.161,244
