ip,count
188.143.232.72,27479
128.177.112.224,6812
188.143.232.26,6750
188.143.232.62,6629
188.143.232.34,6368
188.143.232.70,6303
188.143.232.19,6271
188.143.232.10,6257
188.143.232.16,6206
188.143.232.11,6161
188.143.232.35,5849
188.143.232.43,5811
188.143.232.24,5795
188.143.232.41,5783
188.143.232.40,5779
188.143.232.22,5675
188.143.232.13,5634
188.143.232.21,5594
188.143.232.15,5575
188.143.232.37,5489
188.143.232.14,5204
176.10.104.234,4768
50.183.30.195,2991
198.236.0.36,1992
165.24.201.154,1883
67.55.158.253,1615
168.9.35.17,1567
64.20.204.162,1434
69.64.48.172,1335
209.68.140.178,1315
205.222.248.21,1274
132.219.143.2,1242
204.88.157.148,1169
204.13.204.162,1041
66.44.222.65,998
24.104.140.43,955
72.234.48.19,945
66.175.168.70,907
111.67.28.14,887
66.227.68.50,880
207.155.123.18,872
208.82.159.104,871
38.106.172.254,862
166.113.0.101,860
76.10.203.66,833
24.104.140.44,830
24.248.13.194,826
50.202.190.130,822
131.109.19.18,820
76.220.60.204,820
173.238.187.153,777
207.163.233.25,774
54.209.60.63,772
121.208.80.254,761
71.10.208.194,761
126.218.75.204,749
203.25.67.3,745
208.167.254.80,714
207.62.96.14,713
205.173.168.1,699
203.14.52.145,699
50.201.155.170,697
74.5.116.152,688
50.203.40.10,671
107.152.3.28,645
50.207.202.66,641
50.204.215.202,635
62.102.245.31,632
89.85.103.57,620
97.93.229.7,619
68.48.26.59,617
101.165.77.45,613
212.219.250.57,604
164.116.193.210,601
216.11.35.223,599
66.154.176.19,592
131.109.131.10,571
50.202.121.69,564
89.74.38.8,562
72.175.216.34,562
204.185.64.133,554
192.69.22.45,543
32.209.48.119,533
190.161.131.75,523
204.102.40.107,514
71.46.246.100,512
204.100.220.2,509
66.188.40.154,506
68.144.154.3,501
203.126.140.131,499
71.46.222.129,493
207.62.102.83,491
69.64.109.2,480
98.28.78.172,477
173.17.52.148,476
150.176.138.124,473
156.3.74.61,473
81.22.144.51,472
74.87.165.190,472
197.207.150.195,471
