ip,count
95.130.13.172,17204
188.143.232.15,6572
99.250.127.1,6343
188.143.232.13,5600
188.143.232.72,5336
188.143.232.40,5209
188.143.232.62,4969
188.143.232.16,4793
216.48.138.128,3827
24.8.19.77,2914
188.143.232.19,2705
216.48.138.28,2606
110.22.68.164,2507
213.238.175.71,2343
174.34.220.21,2153
188.143.232.21,2123
76.69.39.50,1599
205.201.197.148,1566
91.217.10.142,1544
69.18.249.86,1520
91.217.10.138,1496
149.88.109.69,1365
69.64.48.172,1321
12.208.59.130,1295
137.164.121.98,1247
73.175.174.143,1233
91.207.6.138,1168
205.222.248.21,1099
70.52.238.31,1074
91.207.7.133,1050
91.207.7.33,1031
91.207.7.30,1018
87.238.173.173,1009
91.207.8.17,938
91.207.5.30,930
24.212.190.89,873
170.185.233.106,823
205.222.248.139,818
205.222.248.117,784
96.233.116.51,766
78.46.174.55,741
175.142.195.251,718
205.222.248.157,718
98.226.241.28,704
68.5.51.74,695
63.133.232.1,692
66.195.91.190,677
64.183.60.82,661
205.222.248.62,661
205.222.248.49,645
77.99.245.197,638
95.138.190.170,629
96.224.194.60,627
108.19.115.36,610
204.184.214.68,594
216.48.138.129,593
89.85.103.57,565
198.91.175.141,562
76.103.114.166,549
164.116.126.176,549
62.245.92.145,525
64.19.3.195,523
91.207.9.154,520
54.209.60.63,497
68.102.112.222,483
189.232.61.149,477
186.18.24.74,477
183.131.144.204,475
205.155.19.254,470
24.154.65.166,463
64.113.185.216,463
205.222.248.45,457
66.81.132.41,456
219.76.4.78,447
73.33.193.173,440
209.232.147.25,439
91.207.9.146,438
64.107.129.239,435
62.201.200.5,416
95.128.88.51,414
194.154.22.54,411
216.126.81.46,410
206.219.178.10,409
108.193.37.145,408
101.71.27.120,405
206.78.212.207,400
60.242.138.246,398
199.212.251.11,392
206.123.204.226,389
101.4.136.66,388
69.253.242.14,388
107.150.97.251,384
209.221.90.250,381
116.100.27.114,379
97.93.237.139,372
74.104.167.106,370
24.11.28.87,368
167.102.157.171,368
70.190.6.193,366
54.151.42.39,354
